[0.33333333 0.33333333 0.33333333]
[0.60436494 0.28080117 0.11483389]
[ 0.70954591  0.32940774 -0.03895365]
[ 6.29645939e-01  3.70354062e-01 -1.58539564e-09]
[ 6.31827875e-01  3.68172127e-01 -1.69930618e-09]
[ 6.32296514e-01  3.67703488e-01 -1.69923849e-09]
[ 6.32397314e-01  3.67602687e-01 -1.69922404e-09]
[ 6.32419003e-01  3.67580999e-01 -1.69922093e-09]
[ 6.32423669e-01  3.67576332e-01 -1.69922027e-09]
[ 6.32424673e-01  3.67575328e-01 -1.69922012e-09]
[ 6.32424890e-01  3.67575112e-01 -1.69922009e-09]
[ 6.32424936e-01  3.67575066e-01 -1.69922009e-09]
